CATE,AREA,school,price,LONG,LAT
chaoyang,76.1,0,65704,116.4072061,39.97243099
chaoyang,51,0,58824,116.4072061,39.97243099
chaoyang,57.26,0,66714,116.4063972,39.97374172
chaoyang,42,0,57858,116.4063972,39.97374172
dongcheng,52.98,1,73613,116.4419609,39.89791571
dongcheng,67,1,71642,116.4419609,39.89791571
dongcheng,50,1,70000,116.4419609,39.89791571
dongcheng,75,1,66667,116.4419609,39.89791571
dongcheng,71.17,1,64353,116.4419609,39.89791571
dongcheng,74.82,1,56135,116.4419609,39.89791571
dongcheng,63,1,75397,116.4418426,39.89554773
dongcheng,82.27,1,75362,116.4418426,39.89554773
dongcheng,80.19,1,71082,116.4418426,39.89554773
dongcheng,71.75,1,69687,116.4418426,39.89554773
chaoyang,60.19,1,54827,116.4190936,40.00183146
chaoyang,80,1,53750,116.4190936,40.00183146
chaoyang,64.21,1,74755,116.4218316,40.0032609
chaoyang,51.01,1,56852,116.4218316,40.0032609
chaoyang,82.19,1,52927,116.4218316,40.0032609
chaoyang,119.01,1,63020,116.4204075,40.00545561
chaoyang,48,1,62500,116.4204075,40.00545561
chaoyang,59,1,60339,116.4204075,40.00545561
chaoyang,103.82,1,57793,116.4204075,40.00545561
chaoyang,85.11,1,57573,116.4204075,40.00545561
chaoyang,104.99,1,57149,116.4204075,40.00545561
chaoyang,77.24,1,53729,116.4204075,40.00545561
chaoyang,94.15,1,53107,116.4204075,40.00545561
chaoyang,85,1,50589,116.4204075,40.00545561
chaoyang,85.11,1,50523,116.4204075,40.00545561
chaoyang,139.5,1,50180,116.4204075,40.00545561
chaoyang,111.55,1,47961,116.4204075,40.00545561
chaoyang,185,1,47568,116.4204075,40.00545561
chaoyang,53.69,1,59602,116.4289931,39.99707988
chaoyang,56.4,1,59398,116.4289931,39.99707988
chaoyang,57.09,1,58680,116.4289931,39.99707988
chaoyang,58,1,58621,116.4289931,39.99707988
chaoyang,40.4,1,56931,116.4289931,39.99707988
chaoyang,78.3,1,56195,116.4289931,39.99707988
chaoyang,57.09,1,56052,116.4289931,39.99707988
chaoyang,57.09,1,55177,116.4289931,39.99707988
chaoyang,57.43,1,54850,116.4289931,39.99707988
chaoyang,64.99,1,30621,116.4289931,39.99707988
chaoyang,54.21,1,77477,116.4180963,40.00001242
chaoyang,67.15,1,67015,116.4180963,40.00001242
chaoyang,56.76,1,66949,116.4180963,40.00001242
chaoyang,44.95,1,66741,116.4180963,40.00001242
chaoyang,76.5,1,65360,116.4180963,40.00001242
chaoyang,70,1,62858,116.4180963,40.00001242
chaoyang,71,1,62677,116.4180963,40.00001242
chaoyang,83.59,1,59816,116.4180963,40.00001242
chaoyang,79.78,1,58286,116.4180963,40.00001242
chaoyang,85.27,1,56292,116.4180963,40.00001242
chaoyang,80,1,56250,116.4180963,40.00001242
chaoyang,78.34,1,56166,116.4180963,40.00001242
chaoyang,75.06,1,55290,116.4168293,39.99755715
chaoyang,118,1,55085,116.4200612,39.99630855
chaoyang,79.29,1,58646,116.4226838,39.99724192
chaoyang,57,1,52632,116.4226838,39.99724192
chaoyang,67.04,1,63395,116.4196204,39.99780171
chaoyang,68.57,1,60668,116.4196204,39.99780171
chaoyang,54.31,1,58922,116.4196204,39.99780171
chaoyang,64.68,1,58751,116.4196204,39.99780171
chaoyang,64.98,1,58480,116.4196204,39.99780171
chaoyang,54.97,1,57668,116.4196204,39.99780171
fengtai,57.96,0,44859,116.4132987,39.86921984
fengtai,57.84,0,43050,116.4132987,39.86921984
fengtai,48.02,1,64557,116.4161441,39.87147053
fengtai,48.08,1,60733,116.4161441,39.87147053
dongcheng,57.34,0,43600,116.4132361,39.8706334
dongcheng,57.91,0,43171,116.4132361,39.8706334
dongcheng,77.66,0,38630,116.4132361,39.8706334
dongcheng,37.74,0,47695,116.4152509,39.86981797
haidian,36.43,0,64508,116.3338857,40.05714883
haidian,38,0,61843,116.3338857,40.05714883
haidian,95.52,0,60721,116.3338857,40.05714883
haidian,39,0,60257,116.3338857,40.05714883
haidian,85.04,0,57032,116.3338857,40.05714883
haidian,88.58,0,52495,116.3338857,40.05714883
haidian,42,0,59524,116.336813,40.05260232
haidian,42,0,54762,116.336813,40.05260232
haidian,59,0,53390,116.336813,40.05260232
haidian,60.85,0,51767,116.336813,40.05260232
haidian,75,0,51334,116.336813,40.05260232
haidian,71.3,0,49089,116.336813,40.05260232
haidian,74.28,0,56947,116.338131,40.05175937
haidian,71.37,0,54085,116.338131,40.05175937
haidian,73,0,52055,116.338131,40.05175937
haidian,73.05,0,51746,116.338131,40.05175937
haidian,48.55,0,51082,116.338131,40.05175937
haidian,73.49,0,50347,116.338131,40.05175937
